,x,y,xGPS,yGPS,xyGPS,Feeder,Geo,Geo_Name
N799,1594176.788364673,7762445.401850463,1.659404345804486,45.05844965898999,"(1.659404345804486, 45.05844965898999)",F18,190570000,Collonges-la-Rouge
N800,1593201.95064125,7761189.0866835825,1.6473410018045258,45.04701668428993,"(1.6473410018045258, 45.04701668428993)",F18,191790000,Saillac
N801,1593410.2505472326,7761408.227860128,1.6499293289045185,45.04901715518994,"(1.6499293289045185, 45.04901715518994)",F18,190570000,Collonges-la-Rouge
N802,1595182.7039283628,7763811.80583751,1.6718421201044462,45.070874554590034,"(1.6718421201044462, 45.070874554590034)",F18,191380000,Meyssac
N803,1593343.32000869,7761164.220734213,1.6491367519045201,45.04681606748992,"(1.6491367519045201, 45.04681606748992)",F18,191790000,Saillac
N804,1593164.8052831718,7760920.252728905,1.6469313150045255,45.04459748428992,"(1.6469313150045255, 45.04459748428992)",F18,191790000,Saillac
N805,1594580.709161826,7762575.563630247,1.6644912557044682,45.05968202508996,"(1.6644912557044682, 45.05968202508996)",F18,190570000,Collonges-la-Rouge
N806,1594822.3265716794,7762938.218954123,1.6674709319044587,45.06297567598998,"(1.6674709319044587, 45.06297567598998)",F18,191380000,Meyssac
N807,1594790.1605227732,7762778.69249206,1.667098975904462,45.06153854618996,"(1.667098975904462, 45.06153854618996)",F18,190570000,Collonges-la-Rouge
N808,1595303.2576323324,7763615.422843317,1.6734128448044383,45.069130544189996,"(1.6734128448044383, 45.069130544189996)",F18,191380000,Meyssac
N809,1594385.127710408,7762057.510968259,1.6621296847044758,45.05500060478993,"(1.6621296847044758, 45.05500060478993)",F18,190570000,Collonges-la-Rouge
N810,1594398.0603791927,7762031.857041067,1.6622992003044752,45.05477235888994,"(1.6622992003044752, 45.05477235888994)",F18,190570000,Collonges-la-Rouge
N811,1594919.7680656675,7762731.724542089,1.6687510675044537,45.06113733528996,"(1.6687510675044537, 45.06113733528996)",F18,191380000,Meyssac
N812,1595268.3577626606,7763100.061270384,1.6730848527044393,45.064498669189994,"(1.6730848527044393, 45.064498669189994)",F18,191380000,Meyssac
N813,1594107.7824510578,7761310.572613119,1.6587843061044871,45.04825152578994,"(1.6587843061044871, 45.04825152578994)",F18,190570000,Collonges-la-Rouge
N814,1594611.1372688368,7761540.802032369,1.6651071387044636,45.050397903589925,"(1.6651071387044636, 45.050397903589925)",F18,190570000,Collonges-la-Rouge
N815,1594761.69618927,7761745.6751524275,1.6669682174044578,45.05226076928995,"(1.6669682174044578, 45.05226076928995)",F18,190570000,Collonges-la-Rouge
N816,1595070.467871659,7762187.968688311,1.6707804796044476,45.05627979078996,"(1.6707804796044476, 45.05627979078996)",F18,191380000,Meyssac
N817,1595362.3361506248,7762634.4398841625,1.6743782870044344,45.060333545289964,"(1.6743782870044344, 45.060333545289964)",F18,191380000,Meyssac
N818,1595365.4704984922,7762633.700237725,1.6744181506044364,45.060327396889974,"(1.6744181506044364, 45.060327396889974)",F18,191380000,Meyssac
N819,1595363.426156586,7762621.77373518,1.6743948948044378,45.060220012889964,"(1.6743948948044378, 45.060220012889964)",F18,191380000,Meyssac
N820,1594975.9045297585,7762001.534861308,1.6696242045044554,45.05459132348993,"(1.6696242045044554, 45.05459132348993)",F18,191380000,Meyssac
N821,1595085.8776656291,7762102.732883518,1.6709945474044454,45.05551705998997,"(1.6709945474044454, 45.05551705998997)",F18,191380000,Meyssac
N822,1595013.1734101628,7761981.2430485375,1.6701007079044508,45.05441502878995,"(1.6701007079044508, 45.05441502878995)",F18,191380000,Meyssac
N823,1595499.8200977931,7762647.769221601,1.6761167301044333,45.060474741189964,"(1.6761167301044333, 45.060474741189964)",F18,191380000,Meyssac
N824,1595198.5858498309,7762169.618276482,1.6724071779044396,45.05613518808998,"(1.6724071779044396, 45.05613518808998)",F18,191380000,Meyssac
N825,1594995.4470598327,7761865.550011116,1.6699018833044517,45.053373678589935,"(1.6699018833044517, 45.053373678589935)",F18,191380000,Meyssac
N826,1594987.9708834297,7761797.085516921,1.6698223957044496,45.05275790578993,"(1.6698223957044496, 45.05275790578993)",F18,191380000,Meyssac
N827,1595554.9764081028,7762651.260194155,1.676814577504429,45.06051471268997,"(1.676814577504429, 45.06051471268997)",F18,191380000,Meyssac
N828,1595344.207848573,7762268.550874654,1.6742296141044333,45.05704614408996,"(1.6742296141044333, 45.05704614408996)",F18,191380000,Meyssac
N829,1595003.9065913204,7761741.588051507,1.6700365248044535,45.05226221918994,"(1.6700365248044535, 45.05226221918994)",F18,191380000,Meyssac
N830,1594934.9810561158,7761638.706808745,1.6691864809044534,45.05132782478994,"(1.6691864809044534, 45.05132782478994)",F18,191380000,Meyssac
N831,1595939.972022413,7763220.339587698,1.6815658032044118,45.06568346158998,"(1.6815658032044118, 45.06568346158998)",F18,191380000,Meyssac
N832,1596197.380591617,7763634.179218632,1.6847356672044036,45.069438596789986,"(1.6847356672044036, 45.069438596789986)",F18,191380000,Meyssac
N833,1595123.1331486069,7761797.877405602,1.671533958304442,45.05278626278994,"(1.671533958304442, 45.05278626278994)",F18,191380000,Meyssac
N834,1595840.305897099,7762938.2247623075,1.680365420704414,45.06313537218996,"(1.680365420704414, 45.06313537218996)",F18,191380000,Meyssac
N835,1595163.630399681,7761796.802533826,1.6720470669044465,45.052782974889936,"(1.6720470669044465, 45.052782974889936)",F18,191380000,Meyssac
N836,1595537.444844201,7762359.676707728,1.6766569063044272,45.057894442589976,"(1.6766569063044272, 45.057894442589976)",F18,191380000,Meyssac
N837,1595537.0292118194,7762357.696647393,1.6766520793044282,45.05787660268997,"(1.6766520793044282, 45.05787660268997)",F18,191380000,Meyssac
N838,1595169.164820465,7761775.795220243,1.6721218106044424,45.05259526408993,"(1.6721218106044424, 45.05259526408993)",F18,191380000,Meyssac
N839,1595091.20482,7761660.571536355,1.6711600485044422,45.05154866988994,"(1.6711600485044422, 45.05154866988994)",F18,191380000,Meyssac
N840,1595090.9919315712,7761639.870567249,1.6711619418044434,45.05136280678994,"(1.6711619418044434, 45.05136280678994)",F18,191380000,Meyssac
N841,1596268.9198083647,7763576.557835864,1.6856545859043983,45.06893245098998,"(1.6856545859043983, 45.06893245098998)",F18,191380000,Meyssac
N842,1594924.2644819247,7761341.2379221525,1.6691168154044524,45.048655807489936,"(1.6691168154044524, 45.048655807489936)",F18,191380000,Meyssac
N843,1595303.0248064504,7761885.637991318,1.6737927480044374,45.053602316489936,"(1.6737927480044374, 45.053602316489936)",F18,191380000,Meyssac
N844,1595459.1274004166,7762107.628271524,1.6757206666044302,45.055619564389936,"(1.6757206666044302, 45.055619564389936)",F18,191380000,Meyssac
N845,1595320.6892869766,7761862.266875974,1.6740216306044378,45.053395286989954,"(1.6740216306044378, 45.053395286989954)",F18,191380000,Meyssac
N846,1595681.822668455,7762391.487659885,1.6784785163044231,45.05820258678996,"(1.6784785163044231, 45.05820258678996)",F18,191380000,Meyssac
N847,1596150.3705937234,7763176.28884028,1.6842406782044024,45.065320789989975,"(1.6842406782044024, 45.065320789989975)",F18,191380000,Meyssac
N848,1594991.89611933,7761325.175645683,1.6699768224044511,45.048522260289936,"(1.6699768224044511, 45.048522260289936)",F18,191380000,Meyssac
N849,1595298.965345269,7761673.841637078,1.6737882003044329,45.051700410789955,"(1.6737882003044329, 45.051700410789955)",F18,191380000,Meyssac
N850,1595297.5937979866,7761664.8586800415,1.673772818504436,45.051619556889925,"(1.673772818504436, 45.051619556889925)",F18,191380000,Meyssac
N851,1595816.501405296,7762325.076222608,1.680198931704416,45.05762745038998,"(1.680198931704416, 45.05762745038998)",F18,191380000,Meyssac
N852,1595821.0740346918,7762323.504027639,1.680257192504416,45.05761405058998,"(1.680257192504416, 45.05761405058998)",F18,191380000,Meyssac
N853,1595457.399110845,7761653.937306767,1.6757990160044325,45.05154656188993,"(1.6757990160044325, 45.05154656188993)",F18,191380000,Meyssac
N854,1595893.1196745231,7762052.746502442,1.681229263804416,45.05519472208993,"(1.681229263804416, 45.05519472208993)",F18,191380000,Meyssac
N855,1595886.545648009,7762018.605989654,1.6811535167044136,45.05488722048994,"(1.6811535167044136, 45.05488722048994)",F18,191380000,Meyssac
N856,1596399.051678885,7762671.389198232,1.6875013883043926,45.06082695888996,"(1.6875013883043926, 45.06082695888996)",F18,191380000,Meyssac
N857,1596603.5686825444,7762884.5687507475,1.6900452588043828,45.062772382389966,"(1.6900452588043828, 45.062772382389966)",F18,191380000,Meyssac
N858,1595751.5688045663,7761394.653433412,1.6795815161044167,45.0492650076899,"(1.6795815161044167, 45.0492650076899)",F18,191380000,Meyssac
N859,1596526.023988313,7762638.125455371,1.689116929904385,45.060548047389965,"(1.689116929904385, 45.060548047389965)",F18,191380000,Meyssac
N860,1596549.9760427026,7762391.68331757,1.6894742030043866,45.058339457689954,"(1.6894742030043866, 45.058339457689954)",F18,191380000,Meyssac
N861,1596631.5709536376,7762436.485074934,1.6904978696043833,45.05875428218996,"(1.6904978696043833, 45.05875428218996)",F18,191380000,Meyssac
N862,1596321.221918994,7761624.244351448,1.6867450416043932,45.05141472768996,"(1.6867450416043932, 45.05141472768996)",F18,191380000,Meyssac
N863,1597152.4609726917,7762394.4291261025,1.6971045038043602,45.058457210589935,"(1.6971045038043602, 45.058457210589935)",F18,191380000,Meyssac
N864,1596951.3642514131,7761825.31859304,1.6946814201043707,45.05331732138993,"(1.6946814201043707, 45.05331732138993)",F18,191380000,Meyssac
N865,1597336.4699341175,7762492.20864714,1.6994138945043489,45.059363302589986,"(1.6994138945043489, 45.059363302589986)",F18,191380000,Meyssac
N866,1597449.5633114818,7762475.112465022,1.7008500366043464,45.05922721558995,"(1.7008500366043464, 45.05922721558995)",F18,191380000,Meyssac
N867,1597137.9441614866,7761887.225055989,1.6970309083043598,45.05390182718994,"(1.6970309083043598, 45.05390182718994)",F18,191380000,Meyssac
N868,1597035.108689859,7761671.187245373,1.695775541904364,45.051946619089925,"(1.695775541904364, 45.051946619089925)",F18,191380000,Meyssac
N869,1597462.7195082502,7762441.30616333,1.7010239994043437,45.058925758089984,"(1.7010239994043437, 45.058925758089984)",F18,191380000,Meyssac
N870,1597055.4906094181,7761195.750374379,1.6961370851043611,45.047681816089934,"(1.6961370851043611, 45.047681816089934)",F18,191380000,Meyssac
N871,1598140.6237643412,7761474.578037754,1.7098183688043176,45.05035126868994,"(1.7098183688043176, 45.05035126868994)",F18,191840000,Saint-Bazile-de-Meyssac
N872,1598538.8517359572,7762138.170611273,1.714719187904301,45.056368956589964,"(1.714719187904301, 45.056368956589964)",F18,191840000,Saint-Bazile-de-Meyssac
N873,1598608.153087635,7762181.809599115,1.7155875580042963,45.056771233589934,"(1.7155875580042963, 45.056771233589934)",F18,191840000,Saint-Bazile-de-Meyssac
N874,1598480.9095317547,7761699.498101518,1.7140794528043028,45.05242219678994,"(1.7140794528043028, 45.05242219678994)",F18,191840000,Saint-Bazile-de-Meyssac
N875,1598504.8076725341,7761713.535306253,1.714379096704303,45.05255184198995,"(1.714379096704303, 45.05255184198995)",F18,191840000,Saint-Bazile-de-Meyssac
N876,1598675.1152641126,7762026.647221588,1.7164688897042986,45.05538851038994,"(1.7164688897042986, 45.05538851038994)",F18,191840000,Saint-Bazile-de-Meyssac
N877,1598831.5986080274,7760950.71114089,1.7186807812042846,45.04575362488992,"(1.7186807812042846, 45.04575362488992)",F18,192170000,Saint-Julien-Maumont
N878,1599216.0996847602,7761573.577135992,1.723417005904272,45.05140320678992,"(1.723417005904272, 45.05140320678992)",F18,191840000,Saint-Bazile-de-Meyssac
N879,1599074.0403892042,7761271.848997627,1.7216822954042776,45.04867314748992,"(1.7216822954042776, 45.04867314748992)",F18,191840000,Saint-Bazile-de-Meyssac
N880,1599092.467235056,7761301.494587255,1.72190932280428,45.04894205948992,"(1.72190932280428, 45.04894205948992)",F18,191840000,Saint-Bazile-de-Meyssac
N881,1599237.234092491,7761550.728213964,1.7236895205042748,45.051201283189926,"(1.7236895205042748, 45.051201283189926)",F18,191840000,Saint-Bazile-de-Meyssac
N882,1599256.4659495966,7761548.595306817,1.7239335288042708,45.051185038689916,"(1.7239335288042708, 45.051185038689916)",F18,191840000,Saint-Bazile-de-Meyssac
N883,1599551.5302615385,7761949.342161616,1.727585184104259,45.054826999889954,"(1.727585184104259, 45.054826999889954)",F18,191840000,Saint-Bazile-de-Meyssac
N884,1599500.3375721518,7761156.394105589,1.72710523420426,45.04770102468992,"(1.72710523420426, 45.04770102468992)",F18,191840000,Saint-Bazile-de-Meyssac
N885,1586478.141981136,7773034.831099809,1.5593530428048283,45.152246924090264,"(1.5593530428048283, 45.152246924090264)",F19,190310301,Rollinat
