,GeoPoint,Shape,x,y,node,xGPS,yGPS,Geo,Geo_Name,Annual_Load_MWh,Pmax_MW
BT932,"7773294.45319, 1585492.73721","[1585492.737214829, 7773294.453188902]",1585492.73721,7773294.45319,N3191,1.5467877622433317,45.15440904609931,190310202,Chapelies,568.16770096768,0.12865824848386506
BT935,"7772219.79955, 1584588.59119","[1584588.5911923083, 7772219.799551101]",1584588.59119,7772219.79955,N2750,1.5355791311758953,45.14460542577995,190310302,Breuil,301.86220833333334,0.07484823222711207
BT936,"7772367.45014, 1585497.92281","[1585497.9228169038, 7772367.450135512]",1585497.9228100001,7772367.4501399975,N2733,1.5470786880162015,45.14608781762933,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT937,"7771962.26539, 1586026.18583","[1586026.1858269253, 7771962.265390307]",1586026.1858299999,7771962.2653899975,N2730,1.5538781400439228,45.14254087328799,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT940,"7770959.43854, 1586130.87","[1586130.869995723, 7770959.438536143]",1586130.87,7770959.43854,N3307,1.5554481619581568,45.13355603152557,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT945,"7774805.76278, 1584322.68789","[1584322.6878904453, 7774805.762779204]",1584322.68789,7774805.76278,N2677,1.5315713922990761,45.167774706197385,190310702,Migoule,840.6918400000001,0.16922845293241287
BT946,"7773783.04795, 1583814.29987","[1583814.2998776548, 7773783.047945615]",1583814.29987,7773783.04795,N2724,1.5253715921067337,45.15850478982832,190310104,Arsonval,795.241111111111,0.17275388801700636
BT947,"7772063.38231, 1585227.45476","[1585227.4547620271, 7772063.382309164]",1585227.45476,7772063.38231,N2755,1.5437215541789648,45.143311550697405,190310302,Breuil,301.86220833333334,0.07484823222711207
BT948,"7772849.42614, 1586027.62846","[1586027.6284552366, 7772849.426137193]",1586027.62846,7772849.426139999,N3210,1.5536820111646028,45.15050554301625,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT950,"7774441.1796, 1585305.19388","[1585305.1938742523, 7774441.17959556]",1585305.19388,7774441.1796,N2597,1.54412917337674,45.164671544331156,190310701,Hopital,1076.7573698771766,0.22398659196041895
BT952,"7772449.2025, 1583486.04603","[1583486.0460297514, 7772449.202495465]",1583486.0460299999,7772449.2025,N2768,1.5215361039069872,45.146472987030975,190310303,Tilleul,348.1073333333334,0.08842065544851063
BT953,"7774586.5306, 1585768.61485","[1585768.6148467269, 7774586.530597064]",1585768.61485,7774586.5306,N2589,1.5499749066456885,45.16605607951724,190310701,Hopital,1076.7573698771766,0.22398659196041895
BT956,"7773544.36702, 1585977.13407","[1585977.1340653396, 7773544.3670225]",1585977.1340700001,7773544.36702,N3184,1.5528733010645932,45.15673572726864,190310202,Chapelies,568.16770096768,0.12865824848386506
BT957,"7772506.80353, 1584148.39613","[1584148.3961298368, 7772506.80353399]",1584148.39613,7772506.80353,N3269,1.5299245096079794,45.14710558095446,190310303,Tilleul,348.1073333333334,0.08842065544851063
BT959,"7772199.01601, 1591792.54423","[1591792.5442358963, 7772199.016013894]",1591792.5442299999,7772199.01601,N3523,1.6269721110306925,45.14562761205432,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
