,x,y,Shape,xyGPS,xGPS,yGPS
N2891,1594803.7231859849,7774055.772373904,"(1594803.7231859849, 7774055.7723739035)","(1.66475816644998, 45.162779264401323)",1.66475816644998,45.16277926440132
N2892,1589788.6087181112,7774116.069504696,"(1589788.6087181112, 7774116.0695046959)","(1.6011019897956551, 45.162509718676922)",1.601101989795655,45.16250971867692
N2893,1582568.0721793957,7780970.645706365,"(1582568.0721793957, 7780970.6457063649)","(1.5077655876771807, 45.222814374421937)",1.5077655876771807,45.22281437442194
N2894,1582660.9141437332,7782667.073876813,"(1582660.9141437332, 7782667.0738768131)","(1.5085215834851906, 45.238061347984846)",1.5085215834851906,45.238061347984846
N2895,1584376.1124608123,7784827.652941391,"(1584376.1124608123, 7784827.6529413909)","(1.5297859161700229, 45.25775989858095)",1.529785916170023,45.25775989858095
N2896,1594788.8577311668,7785064.9448355455,"(1594788.8577311668, 7785064.9448355455)","(1.6621071096256919, 45.261619721607957)",1.6621071096256919,45.26161972160796
N2897,1596065.14482,7784066.53967,"(1596065.14482, 7784066.5396699999)","(1.6785543913810039, 45.252856158194334)",1.678554391381004,45.252856158194334
N2898,1585671.5968738096,7767248.554294987,"(1585671.5968738096, 7767248.5542949867)","(1.5505219426387109, 45.100164187431474)",1.550521942638711,45.100164187431474
N2899,1583901.020775254,7762408.479897232,"(1583901.0207752539, 7762408.4798972318)","(1.5292684694056045, 45.056410037671654)",1.5292684694056045,45.056410037671654
N2900,1583958.326648532,7786451.525218836,"(1583958.3266485319, 7786451.525218836)","(1.5240735134390881, 45.272266822852792)",1.5240735134390881,45.27226682285279
N2901,1586908.2462188085,7784893.715269491,"(1586908.2462188085, 7784893.7152694911)","(1.5619595331646117, 45.258788550032939)",1.5619595331646117,45.25878855003294
N2902,1587708.332765304,7786437.0705684945,"(1587708.332765304, 7786437.0705684945)","(1.5717616137199677, 45.272781135171272)",1.5717616137199677,45.27278113517127
N2903,1586564.676377706,7786036.38234948,"(1586564.676377706, 7786036.3823494799)","(1.557315764423304, 45.268989372793158)",1.557315764423304,45.26898937279316
N2904,1588125.037151508,7778049.644790217,"(1588125.037151508, 7778049.6447902173)","(1.5790569751418586, 45.197547141733061)",1.5790569751418586,45.19754714173306
N2905,1588316.9526639534,7782340.462679833,"(1588316.9526639534, 7782340.4626798332)","(1.5804750245871926, 45.236102700148166)",1.5804750245871926,45.236102700148166
N2906,1588751.582825064,7779532.603296808,"(1588751.582825064, 7779532.603296808)","(1.5866623741318395, 45.210966138532832)",1.5866623741318395,45.21096613853283
N2907,1589570.1633112414,7779219.980143186,"(1589570.1633112414, 7779219.9801431857)","(1.5971329074918605, 45.208295724135958)",1.5971329074918605,45.20829572413596
N2908,1588505.9594789532,7778375.0871907445,"(1588505.9594789532, 7778375.0871907445)","(1.5838169100896609, 45.200532855192563)",1.5838169100896609,45.20053285519256
N2909,1591390.0238806198,7786807.670069059,"(1591390.0238806198, 7786807.6700690594)","(1.6184927832252116, 45.276720403522717)",1.6184927832252116,45.27672040352272
N2910,1592791.7611037495,7786623.478364689,"(1592791.7611037495, 7786623.4783646893)","(1.6363609497774259, 45.275294184044505)",1.6363609497774259,45.275294184044505
N2911,1594012.1305227794,7778051.1239754725,"(1594012.1305227794, 7778051.1239754725)","(1.6538135121490238, 45.198523803129675)",1.6538135121490238,45.198523803129675
N2912,1592392.2433122667,7781747.564580878,"(1592392.2433122667, 7781747.5645808782)","(1.6323975130706403, 45.231451226542148)",1.6323975130706403,45.23145122654215
N2913,1591676.62529,7776779.55796,"(1591676.6252900001, 7776779.5579599999)","(1.6244485310450256, 45.186731754446214)",1.6244485310450256,45.186731754446214
N2914,1593756.9050030736,7777241.807047099,"(1593756.9050030736, 7777241.8070470989)","(1.6507551679151089, 45.19121702761209)",1.650755167915109,45.19121702761209
N2915,1593300.4410149148,7788362.27666224,"(1593300.4410149148, 7788362.2766622398)","(1.6424342779500944, 45.290988309111036)",1.6424342779500944,45.290988309111036
N2916,1579570.1851426254,7773787.115628366,"(1579570.1851426254, 7773787.1156283664)","(1.4715185667547257, 45.157787594993685)",1.4715185667547257,45.157787594993685
N2917,1579150.965069472,7772240.5021513775,"(1579150.9650694721, 7772240.5021513775)","(1.4665957565152425, 45.143827323280391)",1.4665957565152425,45.14382732328039
N2918,1587719.704693568,7787209.215521578,"(1587719.7046935679, 7787209.2155215777)","(1.5717214696373318, 45.279715805739407)",1.5717214696373318,45.27971580573941
